trial#,from nodename,image,from ip,datestamp,start time,end time
trial1,N6,12,10.1.6.72,2018-01-31 22:26:35.212001,1517437595.21379,1517437646.549131
trial1,N8,16,10.1.2.203,2018-01-31 22:26:35.212001,1517437646.550622,1517437648.221276
