trial#,from nodename,image,from ip,datestamp,start time,end time
trial1,N1,2,10.2.5.214,2018-01-31 22:35:07.301598,1517438107.301638,1517438114.04591
trial1,N3,6,10.2.15.63,2018-01-31 22:35:07.301598,1517438114.046169,1517438115.516661
