nodename,zone,publicip,privateip,ipfsid,ipfsaddress,image1,image2,ipfsimage1,ipfsimage2,GETIMAGE1,GETIMAGE2
N1,N. California,18.221.205.95,172.31.17.74,QmeLGMNt2dRgN3DTdPDuNspd24iZY3cTo9CPje6AHtpQ2h,/ip4/172.31.17.74/tcp/4001/ipfs/QmeLGMNt2dRgN3DTdPDuNspd24iZY3cTo9CPje6AHtpQ2h,1,2,QmZ27EHdm4eNfKq53Js3MdVnixcwV57diVs3AtrkXn13VN,QmNdqK2BLkB1kki3RgyaXBz7c9xN11hpZyukAF3xrxMLQH,9,13
N2,N. California,18.221.192.47,172.31.30.155,QmQjVopTdNKac9ZinZsWutxu4efij4STgBFjrvGZkJcmUG,/ip4/172.31.30.155/tcp/4001/ipfs/QmQjVopTdNKac9ZinZsWutxu4efij4STgBFjrvGZkJcmUG,3,4,QmPSA3miqYyLMup2TSpnwBCsZEkdbtArc8GUTpeECCSxRq,QmbARaqDG1DKDkMazreg3qQZTvhjxViVjNhRLnhwfBjvRF,10,14
N3,Oregon,13.58.162.126,172.31.18.9,QmZR6tcB7RKtkvXLDtoxvXspihvZv3UzyFpvwDyCiJcR7w,/ip4/172.31.18.9/tcp/4001/ipfs/QmZR6tcB7RKtkvXLDtoxvXspihvZv3UzyFpvwDyCiJcR7w,5,6,QmXkzwxGeKkbuio4Jm3n7AfrUvzHHUpBnLmn8UvEXhqmZs,Qmbpp66jjP2zxmJwkNJBciht6sHjsynzhRLDc2VDRxQTJn,11,15
N4,Oregon,18.218.145.7,172.31.22.64,QmY3487a19DYaJvnJgKMk7B7ctPaUZVWjYDahXWFA8YuwX,/ip4/172.31.22.64/tcp/4001/ipfs/QmY3487a19DYaJvnJgKMk7B7ctPaUZVWjYDahXWFA8YuwX,7,8,QmWmpE5Q67y89yWcfsaCGUTBze2H6o6FE1yWa9DwR8EbQQ,QmaPkNxKzRQbRTsGV6hDrLGFXCgY4C2eZjqXaeQNPLLMgE,12,16
N5,Ohio,18.220.254.45,172.31.16.126,QmYJ9sfzpXGfxysU6wFUvnFDgxkSDkZVF6Eti1FKLedSD3,/ip4/172.31.16.126/tcp/4001/ipfs/QmYJ9sfzpXGfxysU6wFUvnFDgxkSDkZVF6Eti1FKLedSD3,9,10,QmPp3A67E1UJEr3a8LBP79AKC3xKjpJxyKmoZajZ9hu6it,QmSpcW8dVodP47YabcDzJvui7CiMRHpzP5BuZ6hZV4Pnd9,1,5
N6,Ohio,18.216.230.38,172.31.25.153,QmTvCfC66czxGnQzE9KxXj91Bpo638inyJwQ6mJvXTQ5AU,/ip4/172.31.25.153/tcp/4001/ipfs/QmTvCfC66czxGnQzE9KxXj91Bpo638inyJwQ6mJvXTQ5AU,11,12,QmU9Eznroz1asXoSP6Xk8kFtFdhjz91XebnEni6FXmw9fY,QmU4yZLJiBYghsBPb2m5iPQ5xXEDkiEoV4XbJF4dToqZMn,2,6
N7,N. Virginia,18.217.167.140,172.31.25.72,QmR88bgjf8gViV9KG85RhZCS5HjyFmTp6cdaQWyFPeFbZu,/ip4/172.31.25.72/tcp/4001/ipfs/QmR88bgjf8gViV9KG85RhZCS5HjyFmTp6cdaQWyFPeFbZu,13,14,QmX8rszDHKfEBJVfzCZnDykG799TyA6FAnFGePi3ZBA3F3,Qmbcft9ow1gapy7BTWr6MACt3MR6smkL1epzZan36ZR5Yp,3,7
N8,N. Virginia,13.59.153.122,172.31.23.32,QmatRUMoSxskrRYGqQ6YhBWyjiqaPe7LRYvRrP5mFCtZW1,/ip4/172.31.23.32/tcp/4001/ipfs/QmatRUMoSxskrRYGqQ6YhBWyjiqaPe7LRYvRrP5mFCtZW1,15,16,QmUizYX7is5dM5NmbQf79u84h6fc7dYR1RZmKyMGmsv8Fh,QmXQmxuMYZcMWyzDiLQRX16fjKxjNdjk3ZzpKneNot3b1o,4,8
