nodename,instanceid,zone,publicip,privateip,ipfsid,ipfsaddress,image1,image2,image3,image4,ipfsimage1,ipfsimage2,ipfsimage3,ipfsimage4,GETIMAGE1,GETIMAGE2,GETIMAGE3,GETIMAGE4,GETIPFSIMAGE1,GETIPFSIMAGE2,GETIPFSIMAGE3,GETIPFSIMAGE4
N1,,Ireland,34.253.216.3,10.2.5.214,QmWSuyszsoK671xdXizkEheEPFFmNDazqMqhCqKRuPbYF7,/ip4/10.2.5.214/tcp/4001/ipfs/QmWSuyszsoK671xdXizkEheEPFFmNDazqMqhCqKRuPbYF7,1,2,9,10,QmawBvNMVCaMfqt1Uya9QpMnNHQRhhCc5ELB4MvdE8LCJG,QmT63HbdqMs3xAe1KfsgAuby67GDEav4VC99pUvxJooZwZ,QmTKaPZhkQo3wdo4vitAb9TuoQoCbR5GRHVMfptc6YTpgr,QmbLRpgqLNvDTm7nhpnobCpGqMgs3ASHjaXfP1NPR7Kbkq,,,,,,,,
N2,,Ireland,34.241.4.129,10.2.7.27,QmTZatCsfKbmLB4EtLC6Np37VZbJeudTNXUbX9vWwnhreX,/ip4/10.2.7.27/tcp/4001/ipfs/QmTZatCsfKbmLB4EtLC6Np37VZbJeudTNXUbX9vWwnhreX,3,4,11,12,QmTFWSi2aWZxGT8eAvRWHgFxhm4bq6qe8we4cBmTjb2qcc,QmaGXexWg5riVX28VZzw2yJ2qTTKyVJoQq5mNJna5EcbWM,QmTipGTg8uoG1pCpkgj11c1aQQgsbthHZMtMiA9cd7dc7K,Qmcrj62muYdkD9DJCMpXNLRjVuNJ4cdRg6wWecwE5dF8CN,,,,,,,,
N3,,Ireland,34.253.194.73,10.2.15.63,QmQsTMgvoDa9LusAdYdjNcqaMHYSMxCjjGwtamroMLJJeW,/ip4/10.2.15.63/tcp/4001/ipfs/QmQsTMgvoDa9LusAdYdjNcqaMHYSMxCjjGwtamroMLJJeW,5,6,13,14,QmVbv8BW24bVXV4RjHqRhZ5a8g6vmFRYtXEWfvnhmF4hVg,QmYSfjThZqSuECZuE8gFgnwMgLK6YZQT7nHuArbZXz1zcP,QmURLoJZDC9NadJ6KkKjsocHtPzi3e2nnNGZfkYvFBnxud,QmP3UXhggJSxJUfJj9bwq1rNEfBagGdYaBYyKRiRtRXpHM,,,,,,,,
N4,,Ireland,34.244.85.91,10.2.10.43,QmSd3RJTaWGBdFtjcE3quM95LCBVH83d6Htx7ZMhre2upR,/ip4/10.2.10.43/tcp/4001/ipfs/QmSd3RJTaWGBdFtjcE3quM95LCBVH83d6Htx7ZMhre2upR,7,8,15,16,QmTfCvTYJ94wjekkaQDZp7R8nWDrQEGj2qiMvwKFJmCCNr,QmYvrmu6Y2xLPXMk3f9mt24H9jNwCgaxz7kbQUJVCE5FcJ,QmQ5nWfz6Lq24Gtaf9cMYLEiknxceuCXerNjAgPMRAYs2e,QmXf4Xau6dcLHH95V4dRzNNfifkB4gFXzkMJNKqYxXiFHh,,,,,,,,
N5,,Ohio,18.219.75.74,10.3.8.97,Qmey7DKSQiAmgDXM25ZrwePvgtCpLGa16FpZMfwjjWA1EH,/ip4/10.3.8.97/tcp/4001/ipfs/Qmey7DKSQiAmgDXM25ZrwePvgtCpLGa16FpZMfwjjWA1EH,,,,,,,,,1,3,5,7,QmawBvNMVCaMfqt1Uya9QpMnNHQRhhCc5ELB4MvdE8LCJG,QmTFWSi2aWZxGT8eAvRWHgFxhm4bq6qe8we4cBmTjb2qcc,QmVbv8BW24bVXV4RjHqRhZ5a8g6vmFRYtXEWfvnhmF4hVg,QmTfCvTYJ94wjekkaQDZp7R8nWDrQEGj2qiMvwKFJmCCNr
N6,,Ohio,18.220.159.43,10.3.4.76,Qma6iwCdhkiFYu2dRCqAFKJ8jwteCPEbcBuQSqnfWpd3Xj,/ip4/10.3.4.76/tcp/4001/ipfs/Qma6iwCdhkiFYu2dRCqAFKJ8jwteCPEbcBuQSqnfWpd3Xj,,,,,,,,,2,4,6,8,QmT63HbdqMs3xAe1KfsgAuby67GDEav4VC99pUvxJooZwZ,QmaGXexWg5riVX28VZzw2yJ2qTTKyVJoQq5mNJna5EcbWM,QmYSfjThZqSuECZuE8gFgnwMgLK6YZQT7nHuArbZXz1zcP,QmYvrmu6Y2xLPXMk3f9mt24H9jNwCgaxz7kbQUJVCE5FcJ
N7,,Ohio,18.219.6.119,10.3.0.140,QmWmZwLVggzPoRAacePbh81mPHQGHiymdA5RHtXqvddgRU,/ip4/10.3.0.140/tcp/4001/ipfs/QmWmZwLVggzPoRAacePbh81mPHQGHiymdA5RHtXqvddgRU,,,,,,,,,9,11,13,15,QmTKaPZhkQo3wdo4vitAb9TuoQoCbR5GRHVMfptc6YTpgr,QmTipGTg8uoG1pCpkgj11c1aQQgsbthHZMtMiA9cd7dc7K,QmURLoJZDC9NadJ6KkKjsocHtPzi3e2nnNGZfkYvFBnxud,QmQ5nWfz6Lq24Gtaf9cMYLEiknxceuCXerNjAgPMRAYs2e
N8,,Ohio,13.58.7.38,10.3.7.202,QmT9ZWnYeuDsVbxxx2NftCuTRKbBPMowyzNP4PezHnUM2y,/ip4/10.3.7.202/tcp/4001/ipfs/QmT9ZWnYeuDsVbxxx2NftCuTRKbBPMowyzNP4PezHnUM2y,,,,,,,,,10,12,14,16,QmbLRpgqLNvDTm7nhpnobCpGqMgs3ASHjaXfP1NPR7Kbkq,Qmcrj62muYdkD9DJCMpXNLRjVuNJ4cdRg6wWecwE5dF8CN,QmP3UXhggJSxJUfJj9bwq1rNEfBagGdYaBYyKRiRtRXpHM,QmXf4Xau6dcLHH95V4dRzNNfifkB4gFXzkMJNKqYxXiFHh
