trial#,from nodename,image,from ip,datestamp,start time,end time
trial1,N5,10,10.3.8.97,2018-01-31 22:38:52.123571,1517438332.12361,1517438362.026168
trial1,N7,14,10.3.0.140,2018-01-31 22:38:52.123571,1517438362.031128,1517438374.719258
