trial#,from nodename,image,from ip,datestamp,start time,end time
trial3,N2,4,10.0.9.209,2018-02-01 00:51:43.054445,1517446303.054484,1517446305.407722
trial3,N4,8,10.0.2.26,2018-02-01 00:51:43.054445,1517446305.407948,1517446313.057292
