trial#,from nodename,image,from ip,datestamp,start time,end time
trial3,N2,4,10.0.9.209,2018-01-31 23:18:11.324171,1517440691.324242,1517440691.806169
trial3,N4,8,10.0.2.26,2018-01-31 23:18:11.324171,1517440691.806357,1517440698.581733
