trial#,from nodename,image,from ip,datestamp,start time,end time
trial1,N2,3,10.0.9.209,2018-01-31 22:38:08.980024,1517438288.980065,1517438291.771486
trial1,N4,7,10.0.2.26,2018-01-31 22:38:08.980024,1517438291.771741,1517438297.259488
