trial#,from nodename,image,from ip,datestamp,start time,end time
trial3,N5,9,10.3.8.97,2018-01-31 23:18:19.719399,1517440699.721102,1517440702.735966
trial3,N7,13,10.3.0.140,2018-01-31 23:18:19.719399,1517440702.736166,1517440714.527073
