nodename,instanceid,zone,publicip,privateip,ipfsid,ipfsaddress,image1,image2,image3,image4,ipfsimage1,ipfsimage2,ipfsimage3,ipfsimage4,GETIMAGE1,GETIMAGE2,GETIMAGE3,GETIMAGE4,GETIPFSIMAGE1,GETIPFSIMAGE2,GETIPFSIMAGE3,GETIPFSIMAGE4
N1,,Ireland,34.244.65.197,10.2.4.57,QmabCCBwJKbujgBhRYiRJ9fftN7Dvs9eXJcrtghbviTbum,/ip4/10.2.4.57/tcp/4001/ipfs/QmabCCBwJKbujgBhRYiRJ9fftN7Dvs9eXJcrtghbviTbum,1,2,9,10,QmZ27EHdm4eNfKq53Js3MdVnixcwV57diVs3AtrkXn13VN,QmNdqK2BLkB1kki3RgyaXBz7c9xN11hpZyukAF3xrxMLQH,QmPp3A67E1UJEr3a8LBP79AKC3xKjpJxyKmoZajZ9hu6it,QmSpcW8dVodP47YabcDzJvui7CiMRHpzP5BuZ6hZV4Pnd9,,,,,,,,
N2,,Ireland,54.229.114.184,10.2.7.202,QmY65RRHuH8fVX9LKoPeppsc1S7Wr3j7U8zAhXMtGeRDn4,/ip4/10.2.7.202/tcp/4001/ipfs/QmY65RRHuH8fVX9LKoPeppsc1S7Wr3j7U8zAhXMtGeRDn4,3,4,11,12,QmPSA3miqYyLMup2TSpnwBCsZEkdbtArc8GUTpeECCSxRq,QmbARaqDG1DKDkMazreg3qQZTvhjxViVjNhRLnhwfBjvRF,QmU9Eznroz1asXoSP6Xk8kFtFdhjz91XebnEni6FXmw9fY,QmU4yZLJiBYghsBPb2m5iPQ5xXEDkiEoV4XbJF4dToqZMn,,,,,,,,
N3,,Ireland,52.210.71.186,10.2.9.160,QmPAcTVt8eHoQAr3ZpT5Xhc6c76wYJWX735APKQ5tttLez,/ip4/10.2.9.160/tcp/4001/ipfs/QmPAcTVt8eHoQAr3ZpT5Xhc6c76wYJWX735APKQ5tttLez,5,6,13,14,QmXkzwxGeKkbuio4Jm3n7AfrUvzHHUpBnLmn8UvEXhqmZs,Qmbpp66jjP2zxmJwkNJBciht6sHjsynzhRLDc2VDRxQTJn,QmX8rszDHKfEBJVfzCZnDykG799TyA6FAnFGePi3ZBA3F3,Qmbcft9ow1gapy7BTWr6MACt3MR6smkL1epzZan36ZR5Yp,,,,,,,,
N4,,Ireland,54.229.224.100,10.2.1.132,Qmf3vc7XfctkqsDKq8ZiBpisG3uqj7KY97eXdKarCeN6xr,/ip4/10.2.1.132/tcp/4001/ipfs/Qmf3vc7XfctkqsDKq8ZiBpisG3uqj7KY97eXdKarCeN6xr,7,8,15,16,QmWmpE5Q67y89yWcfsaCGUTBze2H6o6FE1yWa9DwR8EbQQ,QmaPkNxKzRQbRTsGV6hDrLGFXCgY4C2eZjqXaeQNPLLMgE,QmUizYX7is5dM5NmbQf79u84h6fc7dYR1RZmKyMGmsv8Fh,QmXQmxuMYZcMWyzDiLQRX16fjKxjNdjk3ZzpKneNot3b1o,,,,,,,,
N5,,Ohio,18.220.38.10,10.3.1.240,QmcURPtLdXW2shz4apro7nyodGee42rPNs2fEjyL77BzZg,/ip4/10.3.1.240/tcp/4001/ipfs/QmcURPtLdXW2shz4apro7nyodGee42rPNs2fEjyL77BzZg,,,,,,,,,1,3,5,7,QmZ27EHdm4eNfKq53Js3MdVnixcwV57diVs3AtrkXn13VN,QmPSA3miqYyLMup2TSpnwBCsZEkdbtArc8GUTpeECCSxRq,QmXkzwxGeKkbuio4Jm3n7AfrUvzHHUpBnLmn8UvEXhqmZs,QmWmpE5Q67y89yWcfsaCGUTBze2H6o6FE1yWa9DwR8EbQQ
N6,,Ohio,18.217.50.0,10.3.6.112,QmPck5wWcBdfQJtwzccbe1Rhrj8eV9q1YRRocQegEiEF17,/ip4/10.3.6.112/tcp/4001/ipfs/QmPck5wWcBdfQJtwzccbe1Rhrj8eV9q1YRRocQegEiEF17,,,,,,,,,2,4,6,8,QmNdqK2BLkB1kki3RgyaXBz7c9xN11hpZyukAF3xrxMLQH,QmbARaqDG1DKDkMazreg3qQZTvhjxViVjNhRLnhwfBjvRF,Qmbpp66jjP2zxmJwkNJBciht6sHjsynzhRLDc2VDRxQTJn,QmaPkNxKzRQbRTsGV6hDrLGFXCgY4C2eZjqXaeQNPLLMgE
N7,,Ohio,18.217.121.96,10.3.1.19,QmPxXUQb2aD76sVrY1zTbX8j8XTkCgi7QDhifvMSysWwpg,/ip4/10.3.1.19/tcp/4001/ipfs/QmPxXUQb2aD76sVrY1zTbX8j8XTkCgi7QDhifvMSysWwpg,,,,,,,,,9,11,13,15,QmPp3A67E1UJEr3a8LBP79AKC3xKjpJxyKmoZajZ9hu6it,QmU9Eznroz1asXoSP6Xk8kFtFdhjz91XebnEni6FXmw9fY,QmX8rszDHKfEBJVfzCZnDykG799TyA6FAnFGePi3ZBA3F3,QmUizYX7is5dM5NmbQf79u84h6fc7dYR1RZmKyMGmsv8Fh
N8,,Ohio,18.219.56.192,10.3.2.209,QmP9gF9pg3D1ikLqPbKwRrVqL6UmUK1RBS5jcnCnDm7dvT,/ip4/10.3.2.209/tcp/4001/ipfs/QmP9gF9pg3D1ikLqPbKwRrVqL6UmUK1RBS5jcnCnDm7dvT,,,,,,,,,10,12,14,16,QmSpcW8dVodP47YabcDzJvui7CiMRHpzP5BuZ6hZV4Pnd9,QmU4yZLJiBYghsBPb2m5iPQ5xXEDkiEoV4XbJF4dToqZMn,Qmbcft9ow1gapy7BTWr6MACt3MR6smkL1epzZan36ZR5Yp,QmXQmxuMYZcMWyzDiLQRX16fjKxjNdjk3ZzpKneNot3b1o
