nodename,instanceid,zone,publicip,privateip,ipfsid,ipfsaddress,image1,image2,ipfsimage1,ipfsimage2,GETIMAGE1,GETIMAGE2,GETIPFSIMAGE1,GETIPFSIMAGE2
N1,,Oregon,54.213.225.206,10.0.1.0,QmQEsTGjZJjhuA3ZrZ4DgPf8DVHfJe1ZetYp3gkmiDpawY,/ip4/10.0.1.0/tcp/4001/ipfs/QmQEsTGjZJjhuA3ZrZ4DgPf8DVHfJe1ZetYp3gkmiDpawY,1,2,QmZ27EHdm4eNfKq53Js3MdVnixcwV57diVs3AtrkXn13VN,QmNdqK2BLkB1kki3RgyaXBz7c9xN11hpZyukAF3xrxMLQH,9,13,QmPp3A67E1UJEr3a8LBP79AKC3xKjpJxyKmoZajZ9hu6it,QmX8rszDHKfEBJVfzCZnDykG799TyA6FAnFGePi3ZBA3F3
N2,,Oregon,54.201.8.21,10.0.1.1,QmUHqisB68ZpbWQN3RhCYci5qQLy792mEbaSmQN8oqY91K,/ip4/10.0.1.1/tcp/4001/ipfs/QmUHqisB68ZpbWQN3RhCYci5qQLy792mEbaSmQN8oqY91K,3,4,QmPSA3miqYyLMup2TSpnwBCsZEkdbtArc8GUTpeECCSxRq,QmbARaqDG1DKDkMazreg3qQZTvhjxViVjNhRLnhwfBjvRF,10,14,QmSpcW8dVodP47YabcDzJvui7CiMRHpzP5BuZ6hZV4Pnd9,Qmbcft9ow1gapy7BTWr6MACt3MR6smkL1epzZan36ZR5Yp
N3,,Oregon,54.202.91.81,10.0.1.2,QmVAEmwMH9ohY1kpcGFM8iNJZ9w2NTNYMyEWsZtvRnZbYK,/ip4/10.0.1.2/tcp/4001/ipfs/QmVAEmwMH9ohY1kpcGFM8iNJZ9w2NTNYMyEWsZtvRnZbYK,5,6,QmXkzwxGeKkbuio4Jm3n7AfrUvzHHUpBnLmn8UvEXhqmZs,Qmbpp66jjP2zxmJwkNJBciht6sHjsynzhRLDc2VDRxQTJn,11,15,QmU9Eznroz1asXoSP6Xk8kFtFdhjz91XebnEni6FXmw9fY,QmUizYX7is5dM5NmbQf79u84h6fc7dYR1RZmKyMGmsv8Fh
N4,,Oregon,54.214.124.176,10.0.1.3,QmWL33dshJ6SGN7ucDwBmr4KNi9RH2q3YsZDoaF6C7Qp75,/ip4/10.0.1.3/tcp/4001/ipfs/QmWL33dshJ6SGN7ucDwBmr4KNi9RH2q3YsZDoaF6C7Qp75,7,8,QmWmpE5Q67y89yWcfsaCGUTBze2H6o6FE1yWa9DwR8EbQQ,QmaPkNxKzRQbRTsGV6hDrLGFXCgY4C2eZjqXaeQNPLLMgE,12,16,QmU4yZLJiBYghsBPb2m5iPQ5xXEDkiEoV4XbJF4dToqZMn,QmXQmxuMYZcMWyzDiLQRX16fjKxjNdjk3ZzpKneNot3b1o
N5,,N. Virginia,54.162.158.73,10.1.1.0,Qmc86sxLaViz4TgncGN6H58KRZE8fWCMxcBUX5h2geebNr,/ip4/10.1.1.0/tcp/4001/ipfs/Qmc86sxLaViz4TgncGN6H58KRZE8fWCMxcBUX5h2geebNr,9,10,QmPp3A67E1UJEr3a8LBP79AKC3xKjpJxyKmoZajZ9hu6it,QmSpcW8dVodP47YabcDzJvui7CiMRHpzP5BuZ6hZV4Pnd9,1,5,QmZ27EHdm4eNfKq53Js3MdVnixcwV57diVs3AtrkXn13VN,QmXkzwxGeKkbuio4Jm3n7AfrUvzHHUpBnLmn8UvEXhqmZs
N6,,N. Virginia,34.234.88.125,10.1.1.1,QmeXpAdpNdQVTBP5ps6tkGc3kxDXTdEPCixZ6uyNAH7w9J,/ip4/10.1.1.1/tcp/4001/ipfs/QmeXpAdpNdQVTBP5ps6tkGc3kxDXTdEPCixZ6uyNAH7w9J,11,12,QmU9Eznroz1asXoSP6Xk8kFtFdhjz91XebnEni6FXmw9fY,QmU4yZLJiBYghsBPb2m5iPQ5xXEDkiEoV4XbJF4dToqZMn,2,6,QmNdqK2BLkB1kki3RgyaXBz7c9xN11hpZyukAF3xrxMLQH,Qmbpp66jjP2zxmJwkNJBciht6sHjsynzhRLDc2VDRxQTJn
N7,,N. Virginia,34.229.169.234,10.1.1.2,QmaEnHUwJty5Md2HXdEuRQ66G3CCdwanrLWq8PU2yfANJC,/ip4/10.1.1.2/tcp/4001/ipfs/QmaEnHUwJty5Md2HXdEuRQ66G3CCdwanrLWq8PU2yfANJC,13,14,QmX8rszDHKfEBJVfzCZnDykG799TyA6FAnFGePi3ZBA3F3,Qmbcft9ow1gapy7BTWr6MACt3MR6smkL1epzZan36ZR5Yp,3,7,QmPSA3miqYyLMup2TSpnwBCsZEkdbtArc8GUTpeECCSxRq,QmWmpE5Q67y89yWcfsaCGUTBze2H6o6FE1yWa9DwR8EbQQ
N8,,N. Virginia,34.229.73.236,10.1.1.3,QmZ8g5zx4qzHX3XPb37MUxjinggUnG64ES1u6YmkjwHNWa,/ip4/10.1.1.3/tcp/4001/ipfs/QmZ8g5zx4qzHX3XPb37MUxjinggUnG64ES1u6YmkjwHNWa,15,16,QmUizYX7is5dM5NmbQf79u84h6fc7dYR1RZmKyMGmsv8Fh,QmXQmxuMYZcMWyzDiLQRX16fjKxjNdjk3ZzpKneNot3b1o,4,8,QmbARaqDG1DKDkMazreg3qQZTvhjxViVjNhRLnhwfBjvRF,QmaPkNxKzRQbRTsGV6hDrLGFXCgY4C2eZjqXaeQNPLLMgE
