trial#,from nodename,image,from ip,datestamp,start time,end time
trial1,N1,9,10.2.5.214,2018-01-31 21:16:43.481129,1517433403.481171,1517433414.87815
trial1,N2,11,10.2.7.27,2018-01-31 21:16:43.481129,1517433414.878372,1517433420.873541
trial1,N3,13,10.2.15.63,2018-01-31 21:16:43.481129,1517433420.873759,1517433438.322588
trial1,N4,15,10.2.10.43,2018-01-31 21:16:43.481129,1517433438.322821,1517433454.781778
